"header","title","titleUrl","time","products","activityControls","description","details","subtitles"
"YouTube","Searched for 凤凰传奇","https://www.youtube.com/results?search_query\u003d%E5%87%A4%E5%87%B0%E4%BC%A0%E5%A5%87","2023-06-07T20:22:43.280Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Networking tips","https://www.youtube.com/results?search_query\u003dNetworking+tips","2023-06-07T20:12:50.160Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Cover 1920","https://www.youtube.com/results?search_query\u003dCover+1920","2023-06-07T09:03:28.566Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Color 1920","https://www.youtube.com/results?search_query\u003dColor+1920","2023-06-07T09:03:15.870Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for akira","https://www.youtube.com/results?search_query\u003dakira","2023-06-06T20:31:55.141Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for steve jobs trash on microsoft","https://www.youtube.com/results?search_query\u003dsteve+jobs+trash+on+microsoft","2023-06-06T18:56:14.931Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for hog rider","https://www.youtube.com/results?search_query\u003dhog+rider","2023-06-06T05:38:23.281Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for jeff su productive","https://www.youtube.com/results?search_query\u003djeff+su+productive","2023-06-06T05:12:51.408Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Watched 20230517 S17 Trailer 06 ENG Announce 16x9 YT TrueView","https://www.youtube.com/watch?v\u003diVpf2e3OwS8","2023-06-06T04:16:00.702Z","[\"YouTube\"]","[\"Web \\u0026 App Activity\",\"YouTube watch history\",\"YouTube search history\"]","Watched at 9:16 PM","[{\"name\":\"From Google Ads\"}]",
"YouTube","Watched STEM™ Rooted in nature. Optimized by science.","https://www.youtube.com/watch?v\u003dwnCCAacTjQo","2023-06-06T04:12:06.978Z","[\"YouTube\"]","[\"Web \\u0026 App Activity\",\"YouTube watch history\",\"YouTube search history\"]","Watched at 9:12 PM","[{\"name\":\"From Google Ads\"}]",
"YouTube","Watched M2 6 16x9 Mens23 V3","https://www.youtube.com/watch?v\u003dBCN3HUm883c","2023-06-06T04:07:17.434Z","[\"YouTube\"]","[\"Web \\u0026 App Activity\",\"YouTube watch history\",\"YouTube search history\"]","Watched at 9:07 PM","[{\"name\":\"From Google Ads\"}]",
